ID;Title;Work Item Type;Description;Acceptance Criteria;Tags;Story Points;Priority
33737;Evenementen laten zien op het rooster van de gebruiker;User Story;Als gebruiker van de Teamformer app wil ik evenementen waaraan ik deelneem automatisch op mijn rooster zien, zodat ik deze eenvoudig kan combineren met mijn andere afspraken.;Acceptatiecriteria * Evenementen waar ik mij voor heb aangemeld worden automatisch toegevoegd aan mijn rooster. * De evenementen tonen naam, datum, tijd en locatie in de kalenderweergave. * Wijzigingen in evenementen, zoals annuleringen of tijdsaanpassingen, worden automatisch bijgewerkt. * Ik kan evenementen onderscheiden van andere afspraken door middel van een visuele indicatie (bijv. kleurcodering). Functionele eisen * De back-end synchroniseert evenementen automatisch met het persoonlijke rooster van de gebruiker. * De evenementen worden voorzien van details zoals naam, datum, tijd en locatie. * Wijzigingen in evenementen worden in realtime bijgewerkt op het rooster. Niet-functionele eisen * Het synchroniseren van evenementen mag niet langer dan 1 seconde duren. * De visuele indicatie van evenementen moet consistent zijn en voldoen aan de UX-richtlijnen. * De synchronisatie moet fouttolerant zijn en duidelijke meldingen geven bij fouten.;Back-end;8;1
33704;Evenementen bewerken als team eigenaar;User Story;Als eigenaar van een team wil ik de gegevens van een evenement dat ik heb aangemaakt kunnen bewerken, zodat ik wijzigingen kan doorvoeren en het evenement up-to-date kan houden.;Acceptatiecriteria * Ik kan de naam, datum, tijd, locatie en beschrijving van mijn evenement wijzigen. * Alleen ik, als eigenaar van het team, kan mijn evenementen aanpassen. * Na het opslaan van wijzigingen worden de updates direct zichtbaar voor alle deelnemers. * Ik ontvang een bevestiging dat de wijzigingen succesvol zijn opgeslagen. Functionele eisen * De app biedt een bewerkoptie voor evenementen die ik heb aangemaakt. * Wijzigingen worden direct doorgevoerd en zichtbaar gemaakt. Niet-functionele eisen * Het bewerken van evenementen mag niet langer dan 2 seconden duren. * De bewerkingsinterface moet gebruiksvriendelijk zijn.;Back-end;5;2
33678;Evenementen;Epic;;;;;2
30545;Documenteren van Mockups;User Story;Als lid van het ontwikkelteam wil ik de mockups en bijbehorende beschrijvingen toevoegen aan het Software Design Document, zodat de visuele stijl en ontwerpbeslissingen duidelijk zijn voor alle betrokkenen en als referentie kunnen dienen tijdens de implementatie.;* Alle relevante mockups worden toegevoegd aan het Software Design Document. * Elk mockup heeft een korte beschrijving van de visuele keuzes, kleurenschema’s. * De documentatie geeft uitleg over hoe de visuele stijl consistent blijft tussen de verschillende pagina’s. Functionele eisen * Alle relevante mockups moeten worden toegevoegd aan het Software Design Document. * Elke mockup moet een korte beschrijving bevatten van de visuele keuzes. * Het Software Design Document moet uitleg geven over hoe de visuele stijl consistent blijft tussen verschillende pagina’s. Niet-functionele eisen * De mockups en beschrijvingen moeten op een  overzichtelijke manier worden gepresenteerd in het document. * Het document moet makkelijk te lezen en toegankelijk zijn voor alle betrokkenen. * Het toevoegen van mockups en beschrijvingen mag niet langer dan één werkdag in beslag nemen, om tijdig updates te kunnen delen.;Documentatie;8;1
30527;Design Mockups;User Story;Als lid van het ontwikkelteam, wil ik mockups hebben voor het project gebaseerd op de wireframes, zodat we een visueel ontwerp hebben dat de definitieve look-and-feel weergeeft van de verschillende pagina’s en functionaliteiten. Deze mockups moeten kleur, typografie, afbeeldingen en alle UI-elementen bevatten om een visueel coherent en aantrekkelijk ontwerp te presenteren, dat kan worden gebruikt als referentie voor de ontwikkelingsfase.;* Mockups zijn consistent met de wireframes en behouden de navigatiestructuur en inhoudsplaatsing. * Alle mockups bevatten definitieve visuele elementen zoals kleur, typografie en afbeeldingen. * Elke pagina heeft een standaard en responsieve mockup * De mockups worden gedocumenteerd en gedeeld met het ontwikkelteam. Functionele eisen * Mockups moeten consistent zijn met de wireframes en de navigatiestructuur en inhoudsplaatsing behouden. * Alle mockups moeten definitieve visuele elementen bevatten. * Elke pagina moet voorzien zijn van een standaard mockup. * De mockups moeten worden gedocumenteerd en gedeeld met het gehele ontwikkelteam. Niet-functionele eisen * Mockups moeten een visueel aantrekkelijk ontwerp presenteren dat aansluit bij de projectdoelen. * Het documenteren en delen van mockups moet gebeuren in een centraal toegankelijk systeem, zoals een design (bijvoorbeeld Figma of Azure DevOps). * De mockups moeten schaalbaar zijn en eenvoudig aanpasbaar blijven bij toekomstige wijzigingen.;Documentatie;13;1
30541;Creëren van UML-diagrammen Description;User Story;Als lid van het ontwikkelteam wil ik alle benodigde UML-diagrammen (zoals Use Case, Sequence, en Class diagrams) ontwikkelen, zodat de structuur en het gedrag van het systeem duidelijk worden weergegeven.;* Alle vereiste UML-diagrammen (Use Case, Sequence, en Class diagrams) zijn ontwikkeld en correct ingevuld. * De diagrammen volgen de afgesproken UML-standaarden en conventies. * Elk diagram is gedocumenteerd met een korte uitleg over de betekenis en het doel van de visualisatie. * De diagrammen dekken alle belangrijke systeemcomponenten en interacties. * Alle diagrammen zijn beoordeeld en goedgekeurd door het ontwikkelteam. Functionele eisen * Alle benodigde UML-diagrammen (Use Case, Sequence, en Class diagrams) moeten worden ontwikkeld en volledig ingevuld. * De diagrammen moeten voldoen aan de afgesproken UML-standaarden en conventies. * Elk diagram moet voorzien zijn van een korte uitleg die de betekenis en het doel van de visualisatie beschrijft. * De diagrammen moeten alle belangrijke systeemcomponenten en interacties dekken. * De diagrammen moeten worden beoordeeld en goedgekeurd door het ontwikkelteam. Niet-functionele eisen * De diagrammen moeten consistent zijn in opmaak en presentatie. * Het ontwikkelingsproces van de diagrammen mag niet meer dan 10% van de totale projecttijd in beslag nemen. * De diagrammen moeten eenvoudig toegankelijk zijn voor alle teamleden via een centraal gedeeld platform of repository. * De diagrammen moeten schaalbaar en aanpasbaar zijn bij eventuele systeemwijzigingen. * De documentatie en uitleg bij de diagrammen moeten begrijpelijk zijn voor zowel technische als niet-technische stakeholders.;Documentatie;8;1
30546;Create account / Login;Epic;Deze Epic omvat alle activiteiten die nodig zijn om een gebruiksvriendelijk registratie- en inlogsysteem te ontwikkelen. Het doel is om nieuwe gebruikers de mogelijkheid te bieden om een account aan te maken, in te loggen op hun bestaande account, en veilig toegang te krijgen tot de applicatie. Het Epic bevat zowel de front-end elementen (gebruikersinterface voor registreren en inloggen) als de back-end implementatie.;;Software;;1
32896;Agenda view;Epic;De Agenda View biedt gebruikers een overzicht van hun geplande evenementen op een intuïtieve en overzichtelijke manier. In deze agenda kunnen gebruikers eenvoudig hun huidige en aankomende evenementen bekijken, inclusief details zoals de datum, tijd, locatie, en betrokken teams of deelnemers. Het doel is om gebruikers een helder beeld te geven van hun planning en hen te helpen hun evenementen efficiënt te beheren. De interface moet gebruiksvriendelijk en responsief zijn, zodat de agenda op verschillende apparaten prettig werkt.;;;;2
33713;Afmelden van je account;User Story;Als gebruiker van de Teamformer app wil ik mij kunnen afmelden, zodat mijn sessie wordt beëindigd en mijn account veilig blijft.;Acceptatiecriteria * Er is een API-endpoint beschikbaar om een actieve sessie te beëindigen. * De sessie-token wordt ongeldig gemaakt zodra de gebruiker zich afmeldt. * Na afmelding wordt de gebruiker doorgestuurd naar de inlogpagina. * Er wordt een melding gegeven dat de gebruiker succesvol is afgemeld. Functionele eisen * De back-end biedt een API-endpoint voor het afmelden van gebruikers. * Bij afmelding wordt de sessie-token ongeldig gemaakt. Niet-functionele eisen * Het afmelden mag niet langer dan 1 seconde duren. * Het systeem moet voorkomen dat ongeldig gemaakte tokens opnieuw worden gebruikt. * De API moet veilig zijn en voldoen aan beveiligingsnormen zoals HTTPS.;Back-end;8;1
32897;Map Invite / Location Sharing;Epic;De Map Invite / Location Sharing-functionaliteit stelt gebruikers in staat om locaties eenvoudig te delen en uit te nodigen voor evenementen via een interactieve kaart. Gebruikers kunnen een locatie selecteren, bekijken, en delen met anderen in hun netwerk. Het doel is om de coördinatie en deelname aan evenementen te vergemakkelijken door duidelijke locatiegegevens te verstrekken en navigatie-opties te ondersteunen. De interface moet naadloos werken met kaartservices en uitnodigingen eenvoudig en snel te verzenden maken.;;;;2
33728;Evenementen;Epic;Beschrijving Als gebruiker van de Teamformer app wil ik evenementen kunnen bekijken, beheren en eraan deelnemen, zodat ik mijn agenda efficiënt kan organiseren en samenwerkingen kan verbeteren. Features * Evenementenpagina - Front-end: Gebruikers kunnen evenementen bekijken met een overzicht van aankomende activiteiten. * Specifieke evenementen inzien: Gebruikers kunnen details van een evenement bekijken, zoals datum, tijd en locatie. * Evenementen beheren: Team eigenaren kunnen evenementen bewerken of verwijderen. * Deelnemen en verlaten: Gebruikers kunnen deelnemen aan of zich afmelden voor evenementen. * Notificaties en updates: Gebruikers ontvangen meldingen over wijzigingen of annuleringen van evenementen.;;;;2
